"행정구역","2022년10월_총인구수","2022년10월_세대수","2022년10월_세대당 인구","2022년10월_남자 인구수","2022년10월_여자 인구수","2022년10월_남여 비율"
"서울특별시 중랑구 망우본동(1126065500)","35,485","17,581","          2.02","17,544","17,941","          0.98"
"서울특별시 중랑구 망우제3동(1126066000)","15,942","8,191","          1.95","8,050","7,892","          1.02"
"서울특별시 중랑구 신내1동(1126068000)","38,070","14,778","          2.58","18,386","19,684","          0.93"
"서울특별시 중랑구 신내2동(1126069000)","20,085","8,980","          2.24","9,545","10,540","          0.91"
"서울특별시 성북구 (1129000000)","431,581","197,535","          2.18","207,584","223,997","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,304","8,168","          2.00","7,580","8,724","          0.87"
"서울특별시 성북구 삼선동(1129055500)","22,523","11,502","          1.96","10,676","11,847","          0.90"
"서울특별시 성북구 동선동(1129057500)","15,285","9,691","          1.58","6,371","8,914","          0.71"
"서울특별시 성북구 돈암제1동(1129058000)","14,419","6,069","          2.38","6,740","7,679","          0.88"
"서울특별시 성북구 돈암제2동(1129059000)","23,576","8,515","          2.77","11,138","12,438","          0.90"
"서울특별시 성북구 안암동(1129060000)","15,041","9,749","          1.54","7,588","7,453","          1.02"
"서울특별시 성북구 보문동(1129061000)","16,339","8,116","          2.01","7,840","8,499","          0.92"
"서울특별시 성북구 정릉제1동(1129062000)","17,996","7,381","          2.44","8,607","9,389","          0.92"
"서울특별시 성북구 정릉제2동(1129063000)","22,725","9,886","          2.30","11,004","11,721","          0.94"
"서울특별시 성북구 정릉제3동(1129064000)","15,251","8,213","          1.86","7,604","7,647","          0.99"
"서울특별시 성북구 정릉제4동(1129065000)","24,455","10,831","          2.26","11,735","12,720","          0.92"
"서울특별시 성북구 길음제1동(1129066000)","34,880","12,438","          2.80","16,514","18,366","          0.90"
"서울특별시 성북구 길음제2동(1129068500)","21,545","8,581","          2.51","10,360","11,185","          0.93"
"서울특별시 성북구 종암동(1129070500)","38,251","17,169","          2.23","18,916","19,335","          0.98"
"서울특별시 성북구 월곡제1동(1129071500)","26,006","10,850","          2.40","12,541","13,465","          0.93"
"서울특별시 성북구 월곡제2동(1129072500)","19,274","9,705","          1.99","9,267","10,007","          0.93"
"서울특별시 성북구 장위제1동(1129076000)","23,974","10,731","          2.23","11,727","12,247","          0.96"
"서울특별시 성북구 장위제2동(1129077000)","13,453","6,670","          2.02","6,607","6,846","          0.97"
"서울특별시 성북구 장위제3동(1129078000)","15,707","6,442","          2.44","7,679","8,028","          0.96"
"서울특별시 성북구 석관동(1129081000)","34,577","16,828","          2.05","17,090","17,487","          0.98"
