역번호,역명,역위도,역경도,역사도로명주소,행정구역
0746,가산디지털단지,,,서울특별시 금천구 벚꽃로 309(가산동),금천구
0749,천왕,,,서울특별시 구로구 오리로 지하1154(천왕동),구로구
0750,온수(성공회대입구),,,서울특별시 구로구 경인로3길 지하64(온수동),구로구
0810,암사,,,서울특별시 강동구 올림픽로 지하776(암사동),강동구
0811,천호(풍납토성),,,서울특별시 강동구 천호대로 지하997(천호동),강동구
0812,강동구청,,,서울특별시 강동구 올림픽로 지하550(성내동),강동구
0813,몽촌토성(평화의문),,,서울특별시 송파구 올림픽로 지하383(신천동),송파구
0814,잠실(송파구청),,,서울특별시 송파구 올림픽로 305(신천동),송파구
0815,석촌,,,서울특별시 송파구 송파대로 지하439(석촌동),송파구
0816,송파,,,서울특별시 송파구 송파대로 지하354(가락동),송파구
0817,가락시장,,,서울특별시 송파구 송파대로 지하257(가락동),송파구
0818,문정,,,서울특별시 송파구 송파대로 지하179(문정동),송파구
0819,장지,,,서울특별시 송파구 송파대로 지하82(장지동),송파구
0820,복정,,,서울특별시 송파구 송파대로 지하6(장지동),송파구
0901,개화,,,서울특별시 강서구 개화동로8길 19,강서구
0902,김포공항,,,서울특별시 강서구 하늘길 지하77,강서구
0903,공항시장,,,서울특별시 강서구 방화동로 지하30,강서구
0904,신방화,,,서울특별시 강서구 방화대로 지하301,강서구
0905,마곡나루,,,서울특별시 강서구 마곡중앙5로 지하2,강서구
0906,양천향교,,,서울특별시 강서구 양천로 지하341,강서구
0907,가양,,,서울특별시 강서구 양천로 지하485,강서구
0908,증미,,,서울특별시 강서구 양천로 지하560,강서구
0909,등촌,,,서울특별시 강서구 공항대로 지하529,강서구
0910,염창,,,서울특별시 강서구 공항대로 지하631,강서구
0911,신목동,,,서울특별시 양천구 목동중앙로 지하217,양천구
0912,선유도,,,서울특별시 영등포구 양평로 지하124,영등포구
0913,당산,,,서울특별시 영등포구 당산로 229,영등포구
0914,국회의사당,,,서울특별시 영등포구 국회대로 지하758,영등포구
0915,여의도,,,서울특별시 영등포구 의사당대로 지하101 (여의도동),영등포구
0916,샛강,,,서울특별시 영등포구 의사당대로 지하166,영등포구
0917,노량진,,,서울특별시 동작구 노량진로 지하130,동작구
0918,노들,,,서울특별시 동작구 노량진로 지하238 (본동),동작구
0919,흑석,,,서울특별시 동작구 현충로 지하90 (흑석동),동작구
0920,동작,,,서울특별시 동작구 현충로 지하220 (동작동),동작구
0921,구반포,,,서울특별시 서초구 신반포로 지하17,서초구
0922,신반포,,,서울특별시 서초구 신반포로 지하105,서초구
0923,고속터미널,,,서울특별시 서초구 신반포로 지하188,서초구
0924,사평,,,서울특별시 서초구 사평대로 지하285,서초구
0925,신논현,,,서울특별시 강남구 봉은사로 지하102,강남구
1002,남영,37.540597,126.971171,서울시 용산구 한강대로 77길 25(갈월동),용산구
1003,용산,37.52989,126.964775,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),용산구
1004,노량진,37.514072,126.941671,서울시 동작구 노량진로 151,동작구
1005,대방,37.513392,126.926407,서울시 영등포구 여의대방로 300,영등포구
1032,신길,37.517018,126.917743,서울시 영등포구 영등포로 327,영등포구
1006,영등포,37.515756,126.907411,서울시 영등포구 경인로 846(영등포동 1가 618-496),영등포구
1007,신도림,37.508983,126.891513,서울시 구로구 새말로 117-21,구로구
1701,구로,37.503178,126.882037,서울시 구로구 구로중앙로 174,구로구
1702,가산디지털단지,37.481568,126.882628,서울시 금천구 벚꽃로 309,금천구
1714,독산,37.465994,126.889508,서울시 금천구 벚꽃로 115,금천구
1703,금천구청,37.45576,126.894344,서울시 금천구 시흥대로 63길 91,금천구
1015,회기,37.589802,127.057936,서울시 동대문구 회기로196(휘경동 317-101),동대문구
1016,외대앞,37.596157,127.063572,서울시 동대문구 휘경로 27(이문동 360-5),동대문구
1017,신이문,37.601829,127.067347,서울시 동대문구 한천로 472(이문로 7),동대문구
1018,석계,37.615206,127.065594,서울시 노원구 화랑로 314(월계동 36-4),노원구
1019,광운대,37.623635,127.061975,서울시 노원구 석계로 98-2(광운대역),노원구
1020,월계,37.633114,127.058835,서울시 노원구 월계로 53길 40(월계2동 261),노원구
1021,녹천,37.644599,127.051406,서울시 도봉구 덕릉로 376(창동),도봉구
1022,창동,37.653181,127.047663,서울시 도봉구 마들로 11길 77(창1동 135-86),도봉구
1901,방학,37.667471,127.044295,서울시 도봉구 도봉로 150다길 3,도봉구
1902,도봉,37.679441,127.045521,서울시 도봉구 도봉로 170길 2,도봉구
1903,도봉산,37.689603,127.046347,서울시 도봉구 도봉로 964-33,도봉구
1251,서울역(경의선),37.554713,126.970787,서울시 용산구 한강대로 405,용산구
1252,신촌,37.559768,126.942308,서울특별시 서대문구 대현동 74-12,서대문구
1265,가좌,37.568611,126.914841,서울시 서대문구 수색로 27(남가좌동),서대문구
1003,용산,37.52989,126.964775,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),용산구
1261,효창공원앞,37.539289,126.961339,서울시 용산구 용문동 5-133,용산구
1262,공덕,37.542611,126.952134,서울시 마포구 공덕동 마포대로 자하100,마포구
1263,서강대,37.552132,126.935389,서울시 마포구 서강로 지하118,마포구
239,홍대입구,37.55808,126.925533,서울시 마포구 양화로 지하 188,마포구
1266,디지털미디어시티,37.577964,126.900421,서울시 은평구 수색로 193(수색동 37-2),은평구
1267,수색,37.580855,126.895681,서울시 은평구 수색로 261-1,은평구
1013,왕십리,37.561128,127.035505,서울시 성동구 왕십리 광장로 17(행당동),성동구
1014,청량리,37.580543,127.046516,서울시 동대문구 왕산로 214,동대문구
1015,회기,37.589802,127.057936,서울시 동대문구 회기로196(휘경동 317-101),동대문구
1201,중랑,37.594948,127.076152,서울특별시 중랑구 중화동 321-37,중랑구
1202,상봉,37.595254,127.085853,서울시 중랑구 망우로 297(상봉1동 100-9번지),중랑구
1203,망우,37.599288,127.092318,서울시 중랑구 망우로 55길 11-10,중랑구
1204,양원,36.963209,129.091131,서울시 중랑구 송림길 147(망우동),중랑구
